company_name,credit
"Samherji Hf",3000000
"SAMSKIP HF",3000000
"Sapura Offshore Sdn Bhd",2800000
"SDK Chartering AS",50000
"SEA GLOBE MANAGEMENT AND",300000
"Seapride Maritime SL",100000
"SeaWorld Management & Trading Inc",800000
"Shanghai Haihua Shipping Co Ltd",500000
"Shanghai Sinochem-Stolt Shipping",300000
"Shell International Trading and Shipping Company Ltd",35000000
"Shreyas Shipping and Logistics",400000
"SHV Gas Supply & Risk",1000000
"SILK ROAD SHIPPING AND",100000
"Silver Sea TC A/S",700000
"Simon Møkster Shipping AS",3000000
"Sims Group Global Trade Corp",270000
"Sinotrans Agencies (S) Pte Ltd",500000
"SK Offshore Marine Sdn Bhd",40000
"Smart Energy Sweden Fuels AB",500000
"Solitaire Transport Chartering NV",750000
"Sonay Denizcilik Ltd Sti",300000
"Sonoco Partners Marketing &",2000000
"SSANGYONG CEMENT",600000
"SSH Maritime Management of Pleasure Yachts",50000
"Stainless Tankers Inc c/o WOMAR Logistics Pte Ltd",2500000
"STANDARD MARINE TØNSBERG",3000000
"Stanley Services Ltd Ssl",180000
"Star Tankers Inc Trust Company",1000000
"STATE TRADING ORGANISATION",800000
"Stenship KS",1000000
"Subsea7 ingapore Contracting Pte Ltd",700000
"SVALBARD LUFTHAVN AS",20000000
"Swire Blue Ocean A/S",650000
"Swire Pacific Offshore Operations Pte Ltd",3000000
"Synergy Marine Commercial",150000
"TALASA BARBANZA SL",120000
"Teekay LNG Partners LP",1000000
"Teekay Navion Offshore Loading Pte Ltd",5000000
"Tehema Shipping Services Co LLC",500000
"TENSOU CO LTD AKA TENSOU",500000
"Terminal Astafeva OAO",200000
"Texas Fueling Services Inc",100000
"The Ocean Technology Group Limited",220000
"THE PHILODRILL CORPORATION",600000
"The Sol Group",1300000
"Thornico AS",3000000
"Tiryaki Shipping FZ-LLC",2000000
"TOTAL E&P GUYANE",8000000
"Trade Ocean Shipping Services Pty Ltd",300000
"Trans Vind Flot AO",225000
"Transshyp TOV",200000
"Tropic Oil Tropic Fleet Services",100000
"TS GLOBAL PROCUREMENT",1500000
"Ukrrichflot JSSC",500000
"U-Ming Marine Transport HK",500000
"Unifeeder A/S/ United Shipping",2000000
"UNION FENOSA GAS S A",2000000
"V SHIPS LEISURE SAM V SHIPS",500000
"Varamar Shipping DMMCC",500000
"Varamar TOV",1000000
"Vattenfall Vindkraft",1000000
"Vietnam National Shipping Lines",6000000
"VQSV Shipping Limited c/o Axion Energy Corporation",300000
"Vroon Shipping BV",7500000
"Whitener Enterprises Inc",150000
"WL Shipping Ltd",200000
"Zim Integrated Marine Services Ltd",0
"4refuel US, Llc",150000
"Agunsa Europa S,A,",300000
"Bright Denizcilik ve Gemi Isletmeciligi A,S",300000
"Capital World Maritime Ltd,",600000
"CHBSK, OOO",40000
"COSCO Shipping (Singapore) Petroleum Pte, Ltd",75000000
"Dead Sea Works Ltd, Supply",1000000
"ENEL GLOBAL TRADING S,P,A,",1500000
"ENEL PRODUZIONE S,P,A,",1500000
"Green Aim SDN, BHD,",600000
"GTS GLOBAL TRADING PTE,",500000
"Jiangshu Shagang Group Co, Ltd",7500000
