"company_name","credit","seasearcher_id","country","country_code"
"Jutlandia Terminal A/S","3000000","","Denmark","DNK"
"Koppers Denmark Aps","400000","268104","Denmark","DNK"
"Lauritzen Bulkers A/S c/o  J. Lauritzen A/S","500000","","Denmark","DNK"
"Licvem Shiping & Trading Aps","1100000","","Denmark","DNK"
"MAERSK DRILLING A/S","1000000","","Denmark","DNK"
"Maersk Drilling Services A/S","500000","289570","Denmark","DNK"
"MAERSK LINE A/S","3000000","","Denmark","DNK"
"Maersk Oil Trading and","750000","129680","Denmark","DNK"
"Maersk Supply Service A/S","750000","481236","Denmark","DNK"
"Maersk Tankers A/S","5000000","257458","Denmark","DNK"
"Malik Supply A/S","500000","56915","Denmark","DNK"
"NAVISION SHIPPING A/S","300000","534341","Denmark","DNK"
"Nct Offshore A/S","1000000","483551","Denmark","DNK"
"Norbunker A/S","75000","490710","Denmark","DNK"
"Nordic Bulk Carriers A/S","470000","","Denmark","DNK"
"NORIENT PRODUCT POOL APS","3000000","","Denmark","DNK"
"Ocean7 Chartering Aps","300000","549621","Denmark","DNK"
"PETER MADSEN REDERI A/S","210000","68084","Denmark","DNK"
"Rohde Nielsen A/S","8200000","262103","Denmark","DNK"
"ROYAL ARCTIC LINE A/S","2500000","","Denmark","DNK"
"SEA GLOBE MANAGEMENT AND","300000","","Denmark","DNK"
"Seago Line A/S","1000000","643768","Denmark","DNK"
"Seaside Navigation A/S","250000","195305","Denmark","DNK"
"Silver Sea TC A/S","700000","","Denmark","DNK"
"Stena Bulk A/S","1500000","303180","Denmark","DNK"
"Svendborg Bugser A/S","1000000","67740","Denmark","DNK"
"Swire Blue Ocean A/S","650000","","Denmark","DNK"
"T.K.B. Shipping A/S","600000","207097","Denmark","DNK"
"THORCO PROJECTS A/S","250000","638738","Denmark","DNK"
"Thorco Shipping A/S","2000000","253183","Denmark","DNK"
"Thornico AS","3000000","","Denmark","DNK"
"Torm A/S","15000000","16932","Denmark","DNK"
"Trithorn Bulk A/S","600000","511153","Denmark","DNK"
"Ultrabulk A/S","1000000","462383","Denmark","DNK"
"Unifeeder A/S/ United Shipping","2000000","","Denmark","DNK"
"UNIMED FEEDER SERVICES A/S","500000","","Denmark","DNK"
"Union Bulk A/S","600000","538308","Denmark","DNK"
"United Feeder Services L.P.","500000","","Denmark","DNK"
"United Marguisa Lines","500000","554799","Denmark","DNK"
"Weco Bulk A/S","500000","520527","Denmark","DNK"
"Weco Bulk A/S","20000000","520527","Denmark","DNK"
"WORLD MARINE OFFSHORE A/S","150000","445563","Denmark","DNK"
"Xo Shipping","500000","289914","Denmark","DNK"
"Bunker Partner OÜ","50000","","Estonia","EST"
"Stanley Services Ltd Ssl","180000","","Falkland Islands","FLK"
"P/F EFFO","1500000","","Faroe Islands","FRO"
"P/F Magn","8500000","","Faroe Islands","FRO"
"PF EFFO","14500000","","Faroe Islands","FRO"
"Containerships OYJ","3000000","","Finland","FIN"
"Esl Shipping Oy","330000","4983","Finland","FIN"
"Finnlines Oyj","750000","","Finland","FIN"
"Nordic Chartering Ltd","300000","533423","Finland","FIN"
"RAUMA CATA OY","150000","477358","Finland","FIN"
"Wasa Dredging OY Ltd","187000","179520","Finland","FIN"
"Alcatel Submarine Networks Marine SASU","1000000","287215","France","FRA"
"Biron & CIE","300000","","France","FRA"
"Cetragpool","750000","640315","France","FRA"
"Compagnie Du Ponant","200000","41554","France","FRA"
"Engie","3000000","531466","France","FRA"
"Envisan France SAS","1500000","","France","FRA"
"LD BULK","350000","251592","France","FRA"
"OMEGA BUNKER SNC Di","100000","","France","FRA"
"Shell","30000000","57461","France","FRA"
"Sucden Armateurs SAS","750000","488404","France","FRA"
"TOTAL E&P GUYANE","8000000","","French Guiana","GUF"
"Geostan Marine","500000","","Georgia","GEO"
"Alpha Reefer Transport GmbH","430000","81859","Germany","DEU"
"Aug. Bolten WM  Miller's Nachfolger (GmbH & Co) KG","500000","2022","Germany","DEU"
"Baltrader Schifffahrtsgesellschaft mbH & Co KG","500000","519265","Germany","DEU"
"BBC Chartering Carriers GmbH & Co. Kg","1600000","466343","Germany","DEU"
"BREB GmbH & Co. KG","300000","501966","Germany","DEU"
"Briese Chartering GmbH & Co. KG","12000000","208100","Germany","DEU"
"Bundesamt Fur Inffrastrukturur - Baiudbw","7400000","","Germany","DEU"
"Carl F. Peters GmbH & CO. KG","100000","27816","Germany","DEU"
"Citrosuco GmbH","1000000","495793","Germany","DEU"
"Compass Schifffahrtsgesellschaft mbH & Co. KG","400000","515202","Germany","DEU"
"DEUTSCHE CALPAM GMBH","2000000","55508","Germany","DEU"
"Deutsche Maxcom GmBH","3500000","267930","Germany","DEU"
"Deutsche-Calpam GmbH","5000000","55508","Germany","DEU"
"E-Ship 1 GmbH Co. KG","600000","493797","Germany","DEU"
"FRIEDRICH G. FROMMANN","250000","5699","Germany","DEU"
"GEFO Gesellschaft Für Oeltransporte MBH","3000000","","Germany","DEU"
