"company_name","credit","seasearcher_id","country","country_code"
"Tarros SPA","1200000","295229","Italy","ITA"
"Daiichi Chuo Kisen Kaisha","250000","3726","Japan","JPN"
"Daitoh Trading Co Ltd","2250000","3848","Japan","JPN"
"Eihou Shoun Limited","100000","","Japan","JPN"
"GYXIS Corporation","2000000","481230","Japan","JPN"
"ITOCHU ENEX CO LTD","2500000","258275","Japan","JPN"
"JAPAN TUNA FISHERIES","1400000","551011","Japan","JPN"
"Jxtg Nippon Oil Energy Corporation","32000000","","Japan","JPN"
"KANEMATSU CORPORATION","500000","576950","Japan","JPN"
"Kawasaki Kisen Kaisha Ltd (K Line)","10000000","542241","Japan","JPN"
"Marubeni Petroleum Co Ltd","15000000","55575","Japan","JPN"
"MARUBENI PETROLEUM CO..","4000000","55575","Japan","JPN"
"Mitsui O.S.K. Lines Ltd","2000000","579277","Japan","JPN"
"Mitsui OSK Kinkai Ltd. aka Shosen","2000000","","Japan","JPN"
"Mitsui OSK Lines Ltd","7000000","599342","Japan","JPN"
"NITTSU SHOJI CO LTD","500000","","Japan","JPN"
"NYK TRADING CORPORATION","300000","221236","Japan","JPN"
"Riviera Marine Agent Doubleight","300000","","Japan","JPN"
"Sinanen Co. Ltd.","400000","601961","Japan","JPN"
"TENSOU CO LTD AKA TENSOU","500000","","Japan","JPN"
"Toei Reefer Line Ltd","650000","16824","Japan","JPN"
"Lahham Livestock Meat Trading Company","60000","","Jordan","JOR"
"Bahrain Bulk Trade Co Ltd Wll","150000","19547","Kingdom of Bahrain","BHR"
"Arab Maritime Petroleum Transport Co.","2300000","80","Kuwait","KWT"
"Kuwait Petroleum Corporation","2000000","56321","Kuwait","KWT"
"METF BUNKER SERVICES SAL","50000","221192","Lebanon","LBN"
"Swiss shipping Line SAL","350000","646804","Lebanon","LBN"
"Alcyone International Marine Inc.","300000","473213","Liberia","LBR"
"Blue Wave Shipping Inc","80000","22059","Liberia","LBR"
"Charm Marine Company Limited","900000","481591","Liberia","LBR"
"Chevron Transport Corp Ltd","6000000","2511","Liberia","LBR"
"DIAMOND BULK CARRIERS PTE.","1000000","34174","Liberia","LBR"
"Flame SA","500000","653733","Liberia","LBR"
"FORMOSA PLASTICS MARINE","8500000","536843","Liberia","LBR"
"LANGLOIS ENTERPRISES LTD","700000","522567","Liberia","LBR"
"Langlois Enterprises Ltd","800000","522567","Liberia","LBR"
"MYKONOS SHIPPING CO. LTD","800000","10685","Liberia","LBR"
"Petros Shipmanagement SA","1000000","254435","Liberia","LBR"
"Roswell Tankers Corp","250000","342643","Liberia","LBR"
"SEA GATE NAVIGATION LTD","200000","266042","Liberia","LBR"
"Star Tankers Inc Trust Company","1000000","","Liberia","LBR"
"CLDN Ro Ro SA","750000","292300","Luxembourg","LUX"
"DEME","3000000","559871","Luxembourg","LUX"
"Sofidra SA","5000000","283969","Luxembourg","LUX"
"Fratelli Cosulich Unipessoal SA","1000000","274466","Madeira","PMD"
"BENZMARK DEVELOPMENT (M)","500000","486575","Malaysia","MYS"
"CESSNETE SDN BHD","100000","","Malaysia","MYS"
"Diamond Offshore Drilling SDN","1800000","","Malaysia","MYS"
"Green Aim SDN. BHD.","600000","","Malaysia","MYS"
"Jasa Merin (Malaysia) Sdn Bhd","350000","","Malaysia","MYS"
"Marineco Ltd","25000","234660","Malaysia","MYS"
"Pacific Inter-Link Sdn Bhd","450000","","Malaysia","MYS"
"PETRONAS LNG LTD.","2000000","539443","Malaysia","MYS"
"Sapura Offshore Sdn Bhd","2800000","","Malaysia","MYS"
"SK Offshore Marine Sdn Bhd","40000","","Malaysia","MYS"
"Three L. Inc","150000","478180","Malaysia","MYS"
"STATE TRADING ORGANISATION","800000","","Maldives","MDV"
"Admiral Container Lines Inc. Ltd","350000","283447","Malta","MLT"
"Calamity Jane Transport Chartering","300000","486620","Malta","MLT"
"Euroafrica Shipping Lines Limited","500000","644078","Malta","MLT"
"Hansa Shipping Ltd","250000","448803","Malta","MLT"
"IONIC SHIPPING (MGT) INC","500000","36895","Malta","MLT"
"Msco Global Ltd","200000","513483","Malta","MLT"
"Navibulgar Shipping Ltd","4000000","515057","Malta","MLT"
"UML","2000000","493736","Malta","MLT"
"Aquavita International S.A","2000000","484200","Marshall Islands","MHL"
"D. & S. SHIPMANAGEMENT SA","300000","333852","Marshall Islands","MHL"
"DIAMOND OFFSHORE","900000","470602","Marshall Islands","MHL"
"Emil Selmer Shipping Limited","125000","502259","Marshall Islands","MHL"
"GPO Amethyst Limited","2000000","502311","Marshall Islands","MHL"
"HANYU CO LTD","750000","516534","Marshall Islands","MHL"
"MOHAR SHIPPING","300000","569650","Marshall Islands","MHL"
"Oldstone Holding Ltd","200000","","Marshall Islands","MHL"
"OVERSEAS MARINE","300000","533489","Marshall Islands","MHL"
"Skopelos Drillship","600000","303776","Marshall Islands","MHL"
"SMT Cementships Investment Ltd","800000","501098","Marshall Islands","MHL"
"Sterling Ocean Shipping II LLC","500000","447345","Marshall Islands","MHL"
"Sterling Ocean Shipping III LLC","500000","453203","Marshall Islands","MHL"
"TMA Bulk Pool Inc.","2000000","522631","Marshall Islands","MHL"
"Union Maritime Limited","100000","515631","Marshall Islands","MHL"
"Universal Solutions Group LLC","1000000","563284","Marshall Islands","MHL"
"VARCO S.A.","200000","482227","Marshall Islands","MHL"
"Gremex Shipping","200000","103416","Mexico","MEX"
"Hoteles Dinamicos Sa Vidanta","500000","","Mexico","MEX"
"C Transport Holding Ltd","1000000","495085","Monaco","MCO"
"Classic Maritime Inc","1300000","635177","Monaco","MCO"
"Delta Carriers SA","300000","496433","Monaco","MCO"
"Ocean Energy Limited","1500000","35373","Monaco","MCO"
"Oil Expertise and Shipping SAM","150000","","Monaco","MCO"
"RUDDER SAM","125000","222135","Monaco","MCO"
"SAFE BULKERS INC.","1000000","269313","Monaco","MCO"
"V SHIPS LEISURE SAM V SHIPS","500000","","Monaco","MCO"
"Ace Quantum Chemical Tankers C.V.","1250000","485010","Netherlands","NLD"
"Ace Tankers CV","3500000","270858","Netherlands","NLD"
"Alliance Tanker Management","250000","615142","Netherlands","NLD"
"ARGO CORAL MARITIME","100000","487175","Netherlands","NLD"
"Atlantic Aardolieproducten Maatschappij BV","500000","55438","Netherlands","NLD"
"Biglift Holding B.V.","500000","473686","Netherlands","NLD"
"Boskalis International BV","200000","204218","Netherlands","NLD"
"BreadBox Shipping Lines BV","50000","211724","Netherlands","NLD"
"CAPELLE CHARTERING","200000","2629","Netherlands","NLD"
"CARA SHIPPING PTE. LIMITED","1500000","180468","Netherlands","NLD"
"CHEMSHIP B.V.","100000","195728","Netherlands","NLD"
"COOPERATIE VOOR DE","2000000","","Netherlands","NLD"
"DC Dredging BV","250000","488536","Netherlands","NLD"
"De Poli Tankers BV","310000","","Netherlands","NLD"
"DUTCH MARINE CONTRACTORS","50000","485320","Netherlands","NLD"
"Fugro NV","15000000","177910","Netherlands","NLD"
"Hartmann","5000000","75464","Netherlands","NLD"
"Jumbo Shipping VoF","1000000","273877","Netherlands","NLD"
"LONGSHIP","1500000","483547","Netherlands","NLD"
"Marine Survey Contractors NV","300000","","Netherlands","NLD"
"MUR Shipping BV","16000000","532771","Netherlands","NLD"
"Nile Dutch Africa Line B.V.","100000","117544","Netherlands","NLD"
"OSR Rotterdam BV","500000","43955","Netherlands","NLD"
"Q-Shipping B.V.","500000","86859","Netherlands","NLD"
"ROVA MARITIEM B.V.","250000","297918","Netherlands","NLD"
"SAMSKIP MULTIMODAL B.V.","1000000","604253","Netherlands","NLD"
"Schulte & Bruns Nederland BV","50000","303074","Netherlands","NLD"
"Shell Trading Rotterdam B.V.","1000000","303075","Netherlands","NLD"
"Shell Western LNG B.V.","1000000","275109","Netherlands","NLD"
"SHL Offshore Contractors B.V.","2000000","","Netherlands","NLD"
"SHV Gas Supply & Risk","1000000","","Netherlands","NLD"
"Solitaire Transport Chartering NV","750000","","Netherlands","NLD"
"Spliethoff's Bevrachtingskantoor B.","2330000","15669","Netherlands","NLD"
"Unigas International BV","900000","303102","Netherlands","NLD"
"UNIGAS INTERNATIONAL. INC.","250000","303102","Netherlands","NLD"
"UNIVERSAL AFRICA LINES","400000","653598","Netherlands","NLD"
"Van Oord Ship Management B.V.","700000","215831","Netherlands","NLD"
"Vitol Sa","5000000","285621","Netherlands","NLD"
"Vroon Group","7500000","353963","Netherlands","NLD"
"Vroon Shipping BV","7500000","","Netherlands","NLD"
"Wagenborg Shipping BV","300000","18024","Netherlands","NLD"
"Aker Biomarine Antarctic As","4000000","468981","Norway","NOR"
"Akofs 2 AS","700000","479807","Norway","NOR"
"Bergen Bunkers AS","800000","538850","Norway","NOR"
"Boa Ocv AS","400000","336043","Norway","NOR"
"Bryggen Shipping International AS","500000","287982","Norway","NOR"
"BW Green Carriers AS","3000000","","Norway","NOR"
"BW Green Transport AS","1000000","","Norway","NOR"
"Color Line AS","2000000","297675","Norway","NOR"
"DFDS Logistics AS","500000","9352","Norway","NOR"
"DOF ASA","6000000","67876","Norway","NOR"
"Dof Management As","500000","190605","Norway","NOR"
"DOF REDERI AS","2000000","172565","Norway","NOR"
"DOF Subsea Norway AS","600000","251966","Norway","NOR"
"EIMSKIP NORWAY AS","1000000","258928","Norway","NOR"
"Equinor ASA","6000000","11473","Norway","NOR"
"Equinor Metanol ANS","2000000","","Norway","NOR"
"Equinor SA","7000000","11473","Norway","NOR"
"Forsvaret - Forsvarsmateriell","6500000","","Norway","NOR"
"FRED. OLSEN WINDCARRIER","300000","316944","Norway","NOR"
"G2 Ocean AS","12000000","496094","Norway","NOR"
"G2 Ocean AS","750000","496094","Norway","NOR"
"GC Rieber Shipping AS","400000","562093","Norway","NOR"
"Gecoship AS","600000","","Norway","NOR"
"GLOMMEN BUNKERSERVICE AS","1000000","","Norway","NOR"
"Gulfmark Rederi AS","200000","","Norway","NOR"
"Hansa Tankers AS","1000000","303199","Norway","NOR"
"Havforskningsinstituttet","300000","228112","Norway","NOR"
"Havforskningsinstituttet","600000","228112","Norway","NOR"
"Hoegh Autoliners AS","8000000","488317","Norway","NOR"
"Hoyerpool AS","50000","","Norway","NOR"
"Hurtigruten Cruise AS","1250000","","Norway","NOR"
"HØYERGRUPPEN AS","300000","","Norway","NOR"
"K Line Offshore As","3000000","259029","Norway","NOR"
"Klaveness Chartering AS","500000","28149","Norway","NOR"
"Kristian Gerhard Jebsens","500000","","Norway","NOR"
"Misje Rederi AS","50000","44507","Norway","NOR"
"MYKLEBUSTHAUG","640000","555369","Norway","NOR"
"NAT Chartering Limited","1000000","244226","Norway","NOR"
"Nexans Norway AS","3000000","174128","Norway","NOR"
"NORBROKER SHIPPING","500000","66131","Norway","NOR"
"Norcem As","2000000","34439","Norway","NOR"
"ODFJELL DRILLING AS","1000000","34356","Norway","NOR"
"Odfjell Tankers AS","750000","141122","Norway","NOR"
"Pgs Geophysical As","1000000","210921","Norway","NOR"
"Saga Subsea AS","500000","","Norway","NOR"
"Saga Welco AS","150000","105129","Norway","NOR"
"Saipem Offshore Norway AS","4000000","414683","Norway","NOR"
"SDK Chartering AS","50000","","Norway","NOR"
"Seadrill Management","6000000","427564","Norway","NOR"
"Shearwater Geoservices AS","500000","529692","Norway","NOR"
"Siem Offshore Rederi As","150000","646100","Norway","NOR"
"Simon Møkster Shipping AS","3000000","","Norway","NOR"
"Solvang ASA","1000000","24699","Norway","NOR"
"STANDARD MARINE TØNSBERG","3000000","","Norway","NOR"
"Stenersen Chartering AS","500000","562368","Norway","NOR"
"Stenoil KS","1000000","174718","Norway","NOR"
"Stenship KS","1000000","","Norway","NOR"
"Stentank AS","500000","110657","Norway","NOR"
"Stiftelsen Christian Radich","50000","47209","Norway","NOR"
"SVALBARD LUFTHAVN AS","20000000","","Norway","NOR"
"SWIRE SEABED SHIPPING AS","1000000","470119","Norway","NOR"
"Swiss Singapore Overseas","1000000","","Norway","NOR"
"Tronds Marine Service AS","600000","497584","Norway","NOR"
"West Supply II Operation AS","315000","601667","Norway","NOR"
"Western Bulk Carriers AS","1500000","85250","Norway","NOR"
"Western Bulk Chartering AS","1500000","478116","Norway","NOR"
"Oman Ship Management Company S.A.O.C","1000000","","Oman","OMN"
"Oman Shipping Company","15000000","","Oman","OMN"
"Asphaltos Trade SA","400000","268209","Panama","PAN"
"EFSHIPPING CO. S.A. PANAMA","350000","","Panama","PAN"
"FAFALIOS SHIPPING S.A.","500000","5229","Panama","PAN"
"Marblue Shipping Company SA","300000","534558","Panama","PAN"
"ORIENT EXPRESS LINES","1000000","368623","Panama","PAN"
"WATERFRONT SHIPPING","2000000","179931","Panama","PAN"
"Win Shipping Co Limited","500000","316363","Panama","PAN"
"AMC International Holdings Limited","1000000","652905","People's Republic of China","CHN"
"Asia Maritime Pacific (Shanghai) Limited","7200000","","People's Republic of China","CHN"
"Beibu Gulf Holding","3700000","640021","People's Republic of China","CHN"
"BGP Inc.. China National Petroleum","400000","548003","People's Republic of China","CHN"
"CCCC INTERNATIONAL","1200000","347304","People's Republic of China","CHN"
"CHINA NATIONAL CHARTERING","1800000","196326","People's Republic of China","CHN"
"China National Offshore Oil Corp","3000000","45130","People's Republic of China","CHN"
"China National Petroleum Corporation","7500000","194055","People's Republic of China","CHN"
"China Shipping (Singapore)","10000000","","People's Republic of China","CHN"
"China United Lines Ltd.","320000","222397","People's Republic of China","CHN"
"Chinese Polish Joint Stock Shipping Company","7500000","2487","People's Republic of China","CHN"
"Cross Ocean Shipping Ltd","1000000","291299","People's Republic of China","CHN"
"Dalian Chun'an Ship Management Co. Ltd","1300000","174429","People's Republic of China","CHN"
"Dandong Shipping Group Co.. Ltd","100000","180975","People's Republic of China","CHN"
"EAS INTERNATIONAL SHIPPING","500000","193564","People's Republic of China","CHN"
"Fujian Guohang Ocean Shipping","1000000","253482","People's Republic of China","CHN"
"FUJIAN OCEAN SHIPPING","320000","636396","People's Republic of China","CHN"
"FUJIAN SHIPPING COMPANY","1000000","480318","People's Republic of China","CHN"
"GNG Ocean Shipping Co. Ltd.","300000","290131","People's Republic of China","CHN"
"GOLDEN BRICKS SHIPPING PTE","200000","636657","People's Republic of China","CHN"
"GUANGDONG DAPENG LNG","500000","232758","People's Republic of China","CHN"
"Guangzhou Salvage Bureau","1200000","29158","People's Republic of China","CHN"
"LEADING RESOURCES (HONG","2000000","302845","People's Republic of China","CHN"
"LONGSEA MARINE CO.. LIMITED","100000","290852","People's Republic of China","CHN"
"MINMETALS SHIPPING","1000000","637455","People's Republic of China","CHN"
"Mintrans Limited","500000","268155","People's Republic of China","CHN"
"Nanjing Ocean Shipping Co Ltd","700000","205585","People's Republic of China","CHN"
"Ningbo Donghai Shipping Co ltd","700000","207430","People's Republic of China","CHN"
"Ningbo Lionteam Shipping Co Ltd","250000","347040","People's Republic of China","CHN"
"Pacific Bulk Panamax Company limited","7500000","637727","People's Republic of China","CHN"
"Pacific Bulk Supramax Company limited","2100000","637737","People's Republic of China","CHN"
"Precious Charm Limited","500000","651524","People's Republic of China","CHN"
"Qingdao Zhongtai Oceanic Fisheries Co. Ltd","280000","505797","People's Republic of China","CHN"
"Shandong Blue Ocean Fishery Co Ltd","2800000","559954","People's Republic of China","CHN"
"SHANGHAI HONGFA SHIPPING","500000","325463","People's Republic of China","CHN"
"SHANGHAI RUN YUAN SHIPPING","500000","472504","People's Republic of China","CHN"
"Shanghai Time Shipping Co Ltd","270000","181134","People's Republic of China","CHN"
"Shanghai Zhenhua Shipping Co Ltd","450000","97340","People's Republic of China","CHN"
"SHENZHEN ENERGY","1000000","309405","People's Republic of China","CHN"
"SHENZHEN SHEKOU SHIPPING","300000","36376","People's Republic of China","CHN"
"Shidao Group Co. Ltd","300000","525847","People's Republic of China","CHN"
"Sino East Transportation Limited","2500000","274013","People's Republic of China","CHN"
"Sinotrans Container Lines Co Ltd","250000","565566","People's Republic of China","CHN"
"Sinotrans CSC Holdings Co Ltd","28000000","578977","People's Republic of China","CHN"
"SITC CONTAINER LINES","3000000","71399","People's Republic of China","CHN"
"Suns International Shipping Co Ltd","300000","315744","People's Republic of China","CHN"
"Xianglong Shipping Company","300000","595353","People's Republic of China","CHN"
"YANGTZE NAVIGATION","500000","650214","People's Republic of China","CHN"
"Yangtze Navigation (Asia) Co.. Ltd","500000","650214","People's Republic of China","CHN"
"Yun Xing Shipping Co Limited","100000","214012","People's Republic of China","CHN"
"Repsol Trading SA","2000000","471410","Peru","PER"
"Vooil Ltd","150000","638979","Peru","PER"
"PETRON CORPORATION","2000000","55142","Philippines","PHL"
"THE PHILODRILL CORPORATION","600000","","Philippines","PHL"
"Polska zegluga Morska PP","3500000","12284","Poland","POL"
"Vestland Marine Spolka z.o.o.","250000","172901","Poland","POL"
"ZEGLUGA GDANSKA SP. Z O.O.","0","18590","Poland","POL"
"Atlantikaromas LDA","1100000","592053","Portugal","PRT"
"BORUS TRANSPORTES","300000","624260","Portugal","PRT"
"Navesco SA","300000","541186","Portugal","PRT"
"Pombo LDA","350000","280702","Portugal","PRT"
"PORTLINE CONTAINERS","1000000","","Portugal","PRT"
"Rebonave - Reboques e Assistencia Naval SA","100000","80903","Portugal","PRT"
"Saipem (Portugal) Comercio Maritimo. Sociedade Unipessoal. Lda","5000000","","Portugal","PRT"
"Saipem(Portugal) Com. Maritimo","1000000","","Portugal","PRT"
"Qatar Navigation Company a/t/a","750000","","Qatar","QAT"
"Tankerska Next Generation International Ltd","1000000","653360","Republic of Croatia","HRV"
"Tankerska Plovidba International Ltd","500000","638530","Republic of Croatia","HRV"
"Arte Bunkering OU","250000","282414","Republic of Estonia","EST"
"Raduga Shipping and Trading OU","100000","542242","Republic of Estonia","EST"
"Peninsula Petroleum Limited","2000000","653262","Republic of Ireland","IRL"
"BK Shipping Co Ltd","300000","540627","Republic of Korea","KOR"
"C&S ENERGY CO LTD","300000","","Republic of Korea","KOR"
"Chimbusco Korea Co Ltd","300000","266677","Republic of Korea","KOR"
"Daelim Corp","3000000","653774","Republic of Korea","KOR"
"Daewoo Logistics Corp","2000000","181433","Republic of Korea","KOR"
"Dooyang Limited","100000","206410","Republic of Korea","KOR"
"DYNAMIC OIL SOLUTION CO..","100000","290318","Republic of Korea","KOR"
"E BUNKER TRADE CO LTD","250000","221106","Republic of Korea","KOR"
"EMC GAS COPROPATION","500000","","Republic of Korea","KOR"
"H-LINE SHIPPING CO LTD","1500000","472901","Republic of Korea","KOR"
"HANSUNG LINE CO.. LTD.","750000","616991","Republic of Korea","KOR"
"HMM Company Limted","7500000","","Republic of Korea","KOR"
"Hyundai Glovis Co. Ltd.","5000000","251205","Republic of Korea","KOR"
"Hyundai Ocean Service Co. Ltd","420000","529946","Republic of Korea","KOR"
"INFICESS SHIPPING CO. LTD","100000","289963","Republic of Korea","KOR"
"Jeil International Co. Ltd","400000","472738","Republic of Korea","KOR"
"Keum Yang Shipping Co Ltd","150000","8272","Republic of Korea","KOR"
"Korea Line Corp.","2000000","8516","Republic of Korea","KOR"
"KOREA MARINE TRANSPORT CO","1500000","538078","Republic of Korea","KOR"
"Korea Shipping Corporation","2300000","65540","Republic of Korea","KOR"
"NYK Bulkship (Korea) Co. Ltd.","1000000","233354","Republic of Korea","KOR"
"Ocean Eleven Shipping Co.. Ltd","75000","233941","Republic of Korea","KOR"
"Panoco Korea Co Ltd","2000000","55496","Republic of Korea","KOR"
"PETRO OCEAN TRADING CO","400000","268559","Republic of Korea","KOR"
"Petro-Ocean Trading Co.Ltd","900000","268559","Republic of Korea","KOR"
"Posco Daewoo Corporation","2500000","","Republic of Korea","KOR"
"Posco International Corporation","2000000","281457","Republic of Korea","KOR"
"SAEHAN MARINE CO.. LTD.","1000000","482974","Republic of Korea","KOR"
"Sajo Industries Co Ltd","300000","14088","Republic of Korea","KOR"
"Sammok Shipping Co. Ltd","1700000","109312","Republic of Korea","KOR"
"Sea Light Korea Corp","150000","643764","Republic of Korea","KOR"
"Seong Ho Shipping CO LTD","600000","65578","Republic of Korea","KOR"
"SM Line Corporation","4000000","492297","Republic of Korea","KOR"
"SSANGYONG CEMENT","600000","","Republic of Korea","KOR"
"SUNWOO TANKER CO.. LTD.","400000","303919","Republic of Korea","KOR"
"Taiyoung Shipping Co Ltd","600000","16368","Republic of Korea","KOR"
"Unico Logistics Co LTD","2000000","286922","Republic of Korea","KOR"
"WOOJIN SHIPPING CO LTD","300000","598288","Republic of Korea","KOR"
"Blue Sea Fishing Company Pty Ltd","1300000","49358","Republic of Namibia","NAM"
"Adani Global Pte Ltd","2400000","","Republic of Singapore","SGP"
"Aeromic Shipping (S) Pte Ltd","300000","80366","Republic of Singapore","SGP"
"AET Tankers Pte Ltd","7000000","17188","Republic of Singapore","SGP"
"Afri-Bulk Navigation Pte Ltd","250000","","Republic of Singapore","SGP"
"Amarante Shipping Pte Ltd","270000","267120","Republic of Singapore","SGP"
"Apl Co Pte Ltd","4000000","","Republic of Singapore","SGP"
"Approved Energy (Singapore) Pte Ltd","100000","","Republic of Singapore","SGP"
"Asean Cableship Pte Ltd","880000","70063","Republic of Singapore","SGP"
"ASIAD ENTERPRISE PTE. LTD.","60000","499535","Republic of Singapore","SGP"
"ASIAN LIFT PTE LTD","550000","50830","Republic of Singapore","SGP"
"Aurora Tankers International Ltd","500000","285786","Republic of Singapore","SGP"
"Aurora Tankers Management Pte.","500000","284409","Republic of Singapore","SGP"
"Bainbridge Navigation Private Limited","500000","587554","Republic of Singapore","SGP"
"Bainbridge Navigation Pte Ltd","500000","","Republic of Singapore","SGP"
"Baltnav Singapore Pte Ltd","1000000","","Republic of Singapore","SGP"
"Bay Crest Management Pte Ltd","600000","502108","Republic of Singapore","SGP"
"BERGE BULK SHIPPING PTE LTD","1000000","502282","Republic of Singapore","SGP"
"Bostomar Shipping Pte Ltd","300000","","Republic of Singapore","SGP"
"BP SINGAPORE PTE LIMITED","2000000","","Republic of Singapore","SGP"
"Britoil Offshore Services Pte Ltd","150000","","Republic of Singapore","SGP"
"BTS Tankers Pte Ltd","700000","247031","Republic of Singapore","SGP"
"Cathay Marine Fuel Oil Trading Pte Ltd","13000000","221078","Republic of Singapore","SGP"
"CATTLE LINE TWO PTE. LTD.","150000","302457","Republic of Singapore","SGP"
"Centennial Asia Shipping Private","500000","483591","Republic of Singapore","SGP"
"CH OFFSHORE LTD","200000","129704","Republic of Singapore","SGP"
"Chemoil Monde-Export Mondex","400000","","Republic of Singapore","SGP"
"Cheng Xin Chartering Pte Ltd","1000000","652978","Republic of Singapore","SGP"
"Chevron Asia Pacific Shipping Pte","1000000","483946","Republic of Singapore","SGP"
"CLDN Cobelfret Pte Ltd","1500000","","Republic of Singapore","SGP"
"CLEARLAKE SHIPPING PTE. LTD.","7000000","197178","Republic of Singapore","SGP"
"Cockett Marine Oil (Asia) PTE. Ltd.","1000000","468728","Republic of Singapore","SGP"
"COSCO Shipping (Singapore) Petroleum Pte. Ltd","75000000","","Republic of Singapore","SGP"
"DAVA PTE LTD","320000","634917","Republic of Singapore","SGP"
"Deep Drilling 1 Pte Ltd","200000","237068","Republic of Singapore","SGP"
"Diamond Gas International Pte. Ltd.","1000000","503440","Republic of Singapore","SGP"
"DOF Subsea Asia Pacific Pte Ltd","220000","","Republic of Singapore","SGP"
"DOW CHEMICAL PACIFIC PTE","300000","","Republic of Singapore","SGP"
"Dredging International Asia Pacific","1000000","94534","Republic of Singapore","SGP"
"EAGLE BULK PTE LTD","2000000","","Republic of Singapore","SGP"
"Eastern Pacific Shipping Pte Ltd","2500000","","Republic of Singapore","SGP"
"EGPN Bulk Carrier co. Limited","3000000","604428","Republic of Singapore","SGP"
"EMAS-AMC Pte Ltd","800000","","Republic of Singapore","SGP"
"Eneos Oil & Energy Asia Pte Ltd","5000000","290493","Republic of Singapore","SGP"
"Everest Shipping PTE LTD","600000","","Republic of Singapore","SGP"
"EXCEL PROCUREMENT","400000","479659","Republic of Singapore","SGP"
"F.C.S. TRADING & FISHERY PTE","2000000","196949","Republic of Singapore","SGP"
"FOS MANAGEMENT SERVICES","100000","479611","Republic of Singapore","SGP"
"Fugro Singapore Pte Ltd","350000","","Republic of Singapore","SGP"
"Glencore Singapore Pte Ltd","7000000","","Republic of Singapore","SGP"
"GOLDEN-AGRI STENA PTE. LTD.","600000","567689","Republic of Singapore","SGP"
"GPO Grace Limite","2000000","495050","Republic of Singapore","SGP"
"GPR Co. Pte Ltd","1500000","507096","Republic of Singapore","SGP"
"GRAM MARINE PTE LTD","200000","","Republic of Singapore","SGP"
"Greatship Global Offshore Services","130000","256839","Republic of Singapore","SGP"
"GTS GLOBAL TRADING PTE.","500000","","Republic of Singapore","SGP"
"HANSSY SHIPPING PTE LTD","100000","360383","Republic of Singapore","SGP"
"Hanssy Shipping Pte Ltd","700000","360383","Republic of Singapore","SGP"
"HBC Asia Pte Ltd","1000000","","Republic of Singapore","SGP"
"HELIOS LPG POOL LLC","1500000","479526","Republic of Singapore","SGP"
"Idemitsu International (Asia) Pte.","3000000","508928","Republic of Singapore","SGP"
"IMC Shipping Co Pte Ltd","6000000","","Republic of Singapore","SGP"
"Integr8 Fuels Inc","15000000","644384","Republic of Singapore","SGP"
"INTERASIA LINES SINGAPORE","2000000","489322","Republic of Singapore","SGP"
"Jaldhi Overseas Pte Ltd","1000000","267608","Republic of Singapore","SGP"
"Jera Trading Singapore Pte Ltd","1000000","501398","Republic of Singapore","SGP"
"Jungwon Maritime Pte Ltd","300000","508485","Republic of Singapore","SGP"
"K-Line Pte Ltd","5000000","300699","Republic of Singapore","SGP"
"Kim Heng Marine oilfield Pte Ltd","200000","653148","Republic of Singapore","SGP"
"Koch Shipping Pte Ltd","20000000","","Republic of Singapore","SGP"
"LANPAN PTE LTD","550000","233929","Republic of Singapore","SGP"
"LEO OCEAN PTE. LTD.","2000000","","Republic of Singapore","SGP"
"Leomax Maritime Pte. Ltd","500000","","Republic of Singapore","SGP"
"LH Shipping Pte Ltd","1000000","","Republic of Singapore","SGP"
"Liannex Corporation","350000","484035","Republic of Singapore","SGP"
"Lighthouse Navigation Pte Ltd","1500000","","Republic of Singapore","SGP"
"Louis Dreyfus Company Freight","5000000","473146","Republic of Singapore","SGP"
"MACS MARITIME CARRIER","500000","637259","Republic of Singapore","SGP"
"Maersk Oil Trading Singapore Ltd","700000","474190","Republic of Singapore","SGP"
"Marida Tankers Inc","1000000","285824","Republic of Singapore","SGP"
"MARUBENI GRAIN & OILSEEDS","2000000","642521","Republic of Singapore","SGP"
"Maximus Marine Pte. Ltd.","300000","","Republic of Singapore","SGP"
"Mcc Transport Singapore Pte Ltd","6000000","","Republic of Singapore","SGP"
"MMA OFFSHORE ASIA PTE LTD","150000","","Republic of Singapore","SGP"
"MMA OFFSHORE ASIA VESSEL","200000","","Republic of Singapore","SGP"
"MULTIMAX SHIPPING PTE LTD","300000","","Republic of Singapore","SGP"
"NOVA CARRIERS (SINGAPORE)","1000000","385763","Republic of Singapore","SGP"
"Ocean 21 Holdings Pte Ltd","1500000","263113","Republic of Singapore","SGP"
"OCEAN CHALLENGER PTE. LTD.","500000","","Republic of Singapore","SGP"
"Ocean Network Express Pte Ltd.","10000000","","Republic of Singapore","SGP"
"Odfjell Asia II Pte. ltd.","700000","141125","Republic of Singapore","SGP"
"Odyssey Maritime Pte Ltd","600000","","Republic of Singapore","SGP"
"Olam International Ltd","4000000","196941","Republic of Singapore","SGP"
"OMC SHIPPING","500000","292512","Republic of Singapore","SGP"
"OMEGRA SHIPPING PTE. LTD","1000000","533955","Republic of Singapore","SGP"
"Oriental Energy (Singapore) Int.","2500000","504010","Republic of Singapore","SGP"
"OXALIS SHIPPING CO. PTE. LTD.","100000","12174","Republic of Singapore","SGP"
"Pacific International Lines (Pte) Ltd","15000000","462804","Republic of Singapore","SGP"
